"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"AAED1",420.23004762548,0.620274755799212,0.263897434874233,0.00562841766994149,0.0242756546805426,"Upregulated"
"AAGAB",453.910468178802,0.594607132692702,0.160496465527032,7.17380014044156e-05,0.000712508658173978,"Upregulated"
"AAR2",391.680474558427,0.452969936297159,0.131460630057768,0.000292522885154469,0.0022847759624137,"Upregulated"
"AARS",662.000116256529,-0.540462363427569,0.229773742932483,0.00722607160917567,0.0295765997244256,"Downregulated"
"AARS2",371.781443359919,-0.723326957617392,0.203517868473273,0.0001002430417078,0.000938434996031498,"Downregulated"
"AASDHPPT",298.751856072675,-0.506016773558882,0.189756400586121,0.0034296218821814,0.0163758703319672,"Downregulated"
"AASS",204.853237151348,-2.79398050097388,0.607836726466696,2.26418313312004e-07,6.1698990377521e-06,"Downregulated"
"AATF",1581.05437428673,0.342565747566832,0.142382153600105,0.0101669892800063,0.0386124473033173,"Upregulated"
"AB019441.29",845.950708426216,0.405855069633169,0.159866513896688,0.00648289779711828,0.0271118841647324,"Upregulated"
"ABAT",125.053301559031,-0.674754523505409,0.274724778394963,0.0038183820457431,0.0178486675631799,"Downregulated"
"ABCA1",1125.5432201837,2.07462402463949,0.300528324669429,3.47311865046736e-13,6.67814376016269e-11,"Upregulated"
"ABCA10",33.9168309421028,-2.13542755067798,0.753986245352074,0.000214400464201312,0.00176820970789255,"Downregulated"
"ABCA13",558.602895601128,-2.0645937288107,0.666201766813479,0.000101424051809583,0.000946901144908566,"Downregulated"
"ABCA3",111.266647687578,-1.8022004253833,0.509836065163431,2.64368899438567e-05,0.000315931911738281,"Downregulated"
"ABCA5",373.255232763519,-1.11278172625174,0.37803184341889,0.000362404900437658,0.00271059224702344,"Downregulated"
"ABCC4",800.566291089241,-0.739392830675596,0.359247856992892,0.00782930402889242,0.0313850737518004,"Downregulated"
"ABCC5",481.259701957503,-0.867216092236339,0.389435392137985,0.00396372757873515,0.0183327756905121,"Downregulated"
