"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",176,0.834811650378864,3.36471494604914,1e-10,1e-09,5.47368421052632e-10,1024,"tags=62%, list=7%, signal=58%","MSC/PTX3/TNF/INHBA/CXCL3/SDC4/ICAM1/CCL5/LIF/TNFSF9/DUSP5/MARCKS/IFIT2/PHLDA1/RELB/DUSP2/HBEGF/CD83/CXCL1/TRIB1/BCL3/BCL2A1/F3/CXCL2/TRAF1/CD69/PLAU/NINJ1/LDLR/IL23A/ZC3H12A/SAT1/CSF1/IER3/SERPINE1/ABCA1/TNFAIP3/NFKB2/DUSP4/ATF3/KYNU/PLAUR/GCH1/GADD45B/NFKBIE/KLF6/CLCF1/MAP3K8/RIPK2/IER5/IRF1/IL15RA/SLC2A3/TUBB2A/G0S2/IFIH1/NFKB1/NFKBIA/SOCS3/MAP2K3/ETS2/BCL6/NR4A3/PTGS2/TAP1/PFKFB3/EGR2/TIPARP/ICOSLG/SGK1/RNF19B/REL/BIRC3/TNFAIP2/RHOB/CEBPB/BHLHE40/ATP2B1/PHLDA2/SPHK1/DNAJB4/IER2/TNIP2/JUNB/PTGER4/NFE2L2/ZFP36/NAMPT/SNN/FOSL1/EHD1/KDM6B/GADD45A/PLK2/KLF2/ZBTB10/PPP1R15A/BTG2/VEGFA/DENND5A/MXD1/SLC2A6/TNIP1/EDN1/TSC22D1/SQSTM1/SMAD3/GPR183/EIF1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",174,0.677816453797242,2.73063525636641,1e-10,1e-09,5.47368421052632e-10,2090,"tags=53%, list=15%, signal=46%","OASL/IFIT3/IFIT1/ICAM1/CCL5/IFIT2/ISG15/HELZ2/MX1/CMPK2/CD69/STAT1/IFI44/IL10RA/UPP1/RSAD2/IFI44L/PELI1/TNFAIP3/LGALS3BP/GCH1/MT2A/RIPK2/ISG20/IRF1/IL15RA/IFIH1/MX2/USP18/NFKB1/NFKBIA/SOCS3/PTGS2/TAP1/PIM1/ZNFX1/TNFSF10/HLA-G/LY6E/TNFAIP2/DHX58/IRF7/EPSTI1/NLRC5/HIF1A/IFITM2/IFI35/OAS3/LAP3/LATS2/PLSCR1/NAMPT/APOL6/FAS/PARP14/IRF9/IL4R/HLA-B/ST3GAL5/HLA-A/TRIM25/PSMA2/PARP12/TDRD7/PSMB2/TAPBP/XAF1/PTPN6/HERC6/UBE2L6/EIF2AK2/PTPN1/B2M/SOCS1/GBP4/BTG1/PDE4B/TRAFD1/RNF31/PNPT1/CDKN1A/MYD88/PSME2/NMI/ARL4A/OAS2/STAT4/ADAR/MTHFD2/STAT3/STAT2/PSME1"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",91,0.747268821263948,2.72497021541238,1e-10,1e-09,5.47368421052632e-10,1834,"tags=58%, list=13%, signal=51%","OASL/IFIT3/IFIT2/ISG15/HELZ2/LAMP3/MX1/CMPK2/CSF1/IFI44/RSAD2/IFI44L/LGALS3BP/RIPK2/IFITM1/ISG20/IRF1/IFIH1/USP18/GBP2/TAP1/LY6E/DHX58/IRF7/EPSTI1/IFITM2/IFI35/LPAR6/LAP3/PLSCR1/PARP14/IRF9/IL4R/TRIM25/PARP12/OAS1/MOV10/TDRD7/ELF1/PARP9/HERC6/UBE2L6/EIF2AK2/B2M/GBP4/CNP/TRAFD1/SAMD9/TMEM140/RNF31/PNPT1/PSME2/NMI"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",139,0.686984927052457,2.66660188412668,1e-10,1e-09,5.47368421052632e-10,1005,"tags=40%, list=7%, signal=37%","CXCL8/INHBA/ICAM1/CCL5/LIF/TNFSF9/ADM/HBEGF/LAMP3/F3/CD69/LDLR/CSF1/IL10RA/SERPINE1/ABCA1/C3AR1/PLAUR/GCH1/CCR7/KLF6/IRAK2/RIPK2/IFITM1/IRF1/IL15RA/TIMP1/NFKB1/NFKBIA/GNA15/EMP3/C5AR1/CD48/TNFSF10/ICOSLG/LY6E/NLRP3/GPR132/ATP2B1/SPHK1/RHOG/AHR/IRF7/HIF1A/CD82/PTGER4/NAMPT/IL4R/OSM/BTG2/ACVR1B/MXD1/EDN1/TAPBP/GPR183"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",142,0.610326770626524,2.37516486797019,1e-10,1e-09,5.47368421052632e-10,1922,"tags=39%, list=14%, signal=34%","CD7/TNF/INHBA/IL2RA/ICAM1/CD96/PRF1/CCL5/LIF/BCL3/STAT1/CSF1/ACHE/IL2RG/CRTAM/RIPK2/TIMP1/GBP2/TAP1/LTB/HLA-G/ICOSLG/IL12RB1/NLRP3/PRKCG/CD3E/IRF7/HIF1A/TRAT1/ZAP70/EIF5A/TGFB1/FAS/IL4R/ELF4/HLA-A/TAPBP/ETS1/PTPN6/LCK/UBE2D1/B2M/SOCS1/IL27RA/ITGB2/SPI1/IFNGR2/BCL10/CD79A/DEGS1/NCF4/TAP2/UBE2N/CXCR3/STAT4"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",170,0.536095977653285,2.15417880660855,1.07031236986532e-09,8.9192697488777e-09,4.88212659938569e-09,1984,"tags=31%, list=14%, signal=27%","RRAD/PTPN14/LIF/TNFSF9/HBEGF/PDGFA/TRAF4/NINJ1/SAT1/IER3/UPP1/S100A10/ATF3/IER5/TAP1/RNF19B/SLC3A2/SPHK1/PLK3/HEXIM1/CD82/TGFB1/MKNK2/DDIT3/FAS/SLC7A11/GADD45A/PLK2/PPP1R15A/BTG2/AEN/ACVR1B/MXD1/TSC22D1/TSPYL2/IRAK1/RAP2B/ZFP36L1/SOCS1/POM121/PRKAB1/NUDT15/PTPRE/TAX1BP3/BTG1/RPS27L/TRAFD1/TRIB3/CDKN1A/TCHH/BAK1/DDIT4/SESN1"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",168,0.514222547549838,2.06270821331676,1.18598567481615e-08,8.4713262486868e-08,4.6369364729654e-08,1593,"tags=31%, list=11%, signal=28%","TNFRSF4/IL2RA/TNFRSF18/IL1RL1/LIF/ETV4/PHLDA1/CD83/TRAF1/SPRY4/CSF1/IL10RA/GADD45B/KLF6/MAP3K8/SLC2A3/PLPP1/SPP1/CD48/LTB/PIM1/TNFSF10/FURIN/RHOB/BHLHE40/PLIN2/AHR/GLIPR2/AHNAK/RHOH/PLSCR1/COL6A1/SNX9/CKAP4/IL4R/MUC1/DENND5A/MXD1/ITGAE/ODC1/TNFRSF21/GPX4/NFIL3/SOCS1/CDKN1C/MAPKAPK2/GBP4/PRNP/AHCY/CD44/GABARAPL1/BATF"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",189,0.499335771987405,2.03974775914391,2.10339871630597e-08,1.31462419769123e-07,7.19583771367833e-08,3548,"tags=52%, list=25%, signal=39%","LDLR/SLC2A3/MAP2K3/SCD/NFKBIB/BHLHE40/DHCR24/HSPE1/SYTL2/HMGCS1/NAMPT/SLC7A5/DDIT3/HSPA5/SQLE/TPI1/CORO1A/MLLT11/SLC7A11/TOMM40/PPP1R15A/HMGCR/BTG2/SHMT2/EBP/SLC6A6/MTHFD2L/TES/ENO1/ALDOA/SQSTM1/INSIG1/IDI1/ETF1/HSP90B1/DHCR7/ARPC5L/YKT6/STARD4/CALR/SEC11A/RIT1/GAPDH/FADS2/NFIL3/ITGB2/ELOVL5/SLC2A1/PDK1/PSMC4/TUBA4A/PGK1/G6PD/PSME3/TRIB3/PSMB5/RAB1A/CDKN1A/GPI/CACYBP/CYP51A1/DDIT4/MTHFD2/UBE2D3/TUBG1/GSR/TFRC/GLA/ERO1A/RPN1/ATP2A2/DDX39A/CFP/UFM1/PSMD14/PSMD13/XBP1/FADS1/NUFIP1/HPRT1/PFKL/HSPA9/PSMA4/MCM2/FKBP2/HSPD1/SRD5A1/HSPA4/HMBS/PPIA/IFRD1/PNO1/SDF2L1/TCEA1/PSMC2/PSMD12/TBK1/EDEM1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",62,0.664726117569179,2.27242353238049,9.45278531563299e-08,5.25154739757388e-07,2.87453120709307e-07,2069,"tags=48%, list=15%, signal=41%","TNF/CXCL3/IL2RA/CXCL1/TNFRSF12A/STAT1/CSF1/IL2RG/MAP3K8/IRF1/IL15RA/SOCS3/LTB/PIM1/IL12RB1/TGFB1/FAS/IRF9/IL4R/ACVR1B/TNFRSF21/PTPN1/SOCS1/IFNGR2/CD44/MYD88/BAK1/ITGA4/STAT3/STAT2"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",149,0.522335649759206,2.05037710661558,1.23379698934302e-07,5.60816813337737e-07,3.06973413616446e-07,2190,"tags=38%, list=16%, signal=32%","CP/SDC4/ADM/F3/IER3/SERPINE1/TNFAIP3/ATF3/PLAUR/KLF6/MT2A/ISG20/SLC2A3/PRKCA/PFKFB3/PIM1/TIPARP/BHLHE40/PLIN2/ZFP36/DDIT3/HSPA5/TPI1/PPP1R15A/JMJD6/VEGFA/SLC6A6/TES/ENO1/ALDOA/ETS1/MIF/NOCT/SLC2A5/CDKN1B/CSRP2/GAPDH/NFIL3/CDKN1C/ANXA2/SLC2A1/PDK1/SIAH2/PGK1/XPNPEP1/BTG1/PNRC1/CDKN1A/GPI/MAFF/DDIT4/VHL/GALK1/CITED2/MYH9/ERO1A"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",194,0.485049276817859,1.98342283035638,1.21442611422746e-07,5.60816813337737e-07,3.06973413616446e-07,5002,"tags=66%, list=36%, signal=43%","HSPE1/KPNA2/COX5A/EIF4G2/PSMA1/PSMA2/PSMD7/PSMB2/SRM/ODC1/ETF1/RAD23B/RPS2/YWHAQ/TUFM/PSMB3/C1QBP/SNRPD2/EIF4H/VDAC1/RANBP1/PSMC4/PGK1/DDX21/RPL6/PSMD8/PSMD3/TCP1/ACP1/PRDX4/RPS5/SLC25A3/HNRNPC/HSP90AB1/SET/PRPF31/PHB2/CYC1/HDGF/RPL14/CCT7/PA2G4/AP3S1/SNRPA/XRCC6/PCBP1/NHP2/TYMS/ILF2/MRPL23/PPM1G/TRIM28/SRSF2/PSMD14/PABPC4/YWHAE/UBE2E1/UBA2/RPL18/STARD7/SMARCC1/MRPL9/RPL34/POLD2/NAP1L1/HPRT1/EIF3D/SNRPG/PSMA4/MCM2/PSMA7/PTGES3/HSPD1/PSMA6/RPLP0/RACK1/NME1/PPIA/IFRD1/SNRPB2/CDK4/RPS10/NDUFAB1/IMPDH2/EEF1B2/RNPS1/VBP1/TXNL4A/RAN/CANX/NPM1/GOT2/KPNB1/HDDC2/SF3A1/MCM5/SSBP1/CDC45/PABPC1/LDHA/SNRPD3/EIF3J/EIF4E/RPS6/MCM4/NOLC1/CCT3/POLE3/RPS3/COPS5/AIMP2/HNRNPD/APEX1/RPL22/CCT2/FBL/CCT5/HDAC2/HNRNPU/DUT/MAD2L1/EIF2S2/PSMD1/DEK/SNRPD1/CDK2/RUVBL2/HNRNPR/GLO1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",120,0.527308847085264,2.01917768618871,1.11432437037913e-06,4.64301820991302e-06,2.54144154647871e-06,1135,"tags=30%, list=8%, signal=28%","CXCL8/PTX3/INHBA/SDC4/DPYSL3/THBS1/CXCL1/TNFRSF12A/SAT1/SERPINE1/TNFAIP3/PLAUR/GADD45B/COL7A1/TIMP1/SPP1/EMP3/SFRP4/COL6A2/BASP1/COL1A1/RHOB/FZD8/FBN2/LGALS1/TGFB1/VIM/FAS/SLC6A8/COL6A3/GADD45A/VEGFA/TPM4/QSOX1/FBLN5/GPX7"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",132,0.51646933013649,2.00222872920142,2.05439316480891e-06,7.90151217234197e-06,4.32503824170297e-06,2265,"tags=34%, list=16%, signal=29%","RRAD/ICAM1/CXCL2/ATF3/GCH1/IRF1/NFKBIA/TAP1/FURIN/HSPA2/RHOB/PPIF/ALAS1/DNAJB1/JUNB/NPTX2/SLC6A8/BTG2/ALDOA/SQSTM1/APOM/YKT6/CDKN1C/BSG/CNP/CEBPG/CLTB/TUBA4A/PPP1R2/DDX21/BTG1/NXF1/BCL2L11/TCHH/DNAJA1/BAK1/HSPA13/PSMC3/ARRB2/TFRC/GRINA/BTG3/CDC34/MRPL23/RPN1"
