"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","88/1767","248/9382",0.354838709677419,1.88403892144513,6.7963324034036,2.71292966089018e-10,9.46812451650674e-08,5.25451639582941e-08,"ACTB/ACTG1/ACTR1A/ACTR1B/ACTR3C/AHNAK/AKT3/ARF1/ARL8A/ARL8B/ARPC2/ARPC3/ARPC4/ARPC5L/BAX/BIRC3/CDC42/CTNNB1/CXCL8/CYCS/CYTH3/CYTH4/DCTN4/DYNC1I1/DYNC1LI1/DYNC2LI1/ELMO2/EXOC2/EXOC5/FLNA/GAPDH/GCC2/HSP90AA1/HSP90AB1/HSP90B1/IKBKB/IRAK1/IRAK4/KIF5A/KIF5B/KPNA3/MAP2K2/MAP2K3/MAP2K6/MYC/MYD88/MYL12A/NAIP/NCKAP1L/NFKB1/NFKBIA/NLRP3/NOD1/PFN1/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PKN1/PLEKHM2/PODXL/RAB5A/RAB5C/RAB7A/RAB9B/RAC1/RALA/RHOA/RHOB/RHOG/RHOH/RIPK2/ROCK2/S100A10/SNX9/TAB1/TCF7/TNF/TNFRSF10B/TNFSF10/TRAF6/TUBB1/TUBB2A/TUBB4B/TUBB6/TXN/TXN2/VPS41",88
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","74/1767","205/9382",0.360975609756098,1.91662318660538,6.39183112779721,3.07917939803234e-09,5.37316804956644e-07,2.98194215388395e-07,"ADRM1/AKT3/APAF1/B2M/BAX/CALR/CD3E/CD44/CDKN1B/CYCS/EIF2AK2/FAS/GADD45A/GADD45B/GADD45G/HDAC1/HLA-A/HLA-B/HLA-DRB5/HLA-G/ICAM1/IFNAR1/IFNAR2/IKBKB/IRAK1/IRAK4/IRF7/IRF9/ISG15/JAK3/MAP2K3/MAP2K6/MAVS/MYC/MYD88/NEDD4/NFKB1/NFKB2/NFKBIA/NFKBIB/NFKBIE/OAS3/PDIA3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/POLK/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/RAC1/RELB/RUNX3/SAP30L/STAT1/STAT3/TAB1/TAP1/TAP2/TAPBP/TNF/TNFAIP3/TRAF5/TRAF6/VIM",74
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","79/1767","227/9382",0.348017621145374,1.84782191374414,6.22868374830935,6.21957298316594e-09,7.23543657041638e-07,4.01544361018433e-07,"ADCY6/ADCY9/AKT3/ARHGEF11/ARHGEF12/ATF4/B2M/BAX/CALM1/CALR/CCL3/CCL5/CREB1/CREB3L4/CREB5/CRKL/CTNNB1/CXCL8/CYCS/FAS/GNA11/GNA13/GNAI1/GNAI2/GNAI3/GNAS/GNB1/GNB4/GNG11/GNG5/GNG7/GRB2/HLA-A/HLA-B/HLA-G/IKBKB/IL10RA/IL10RB/IL6R/ITPR1/ITPR3/KRAS/MAP2K2/MAP2K6/MYC/NFATC2/NFATC4/NFKB1/NFKBIA/NRAS/PDIA3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLCB2/PLCB3/PPP3CB/PPP3R1/PRKACB/PRKCA/PRKCG/PTGER4/PTGS2/RAC1/RHOA/ROCK2/RPS6KB2/SOS1/SOS2/STAT3/TAP1/TAP2/TAPBP/TNF/TRAF5/TSC1/VEGFA",79
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","55/1767","144/9382",0.381944444444444,2.02795856127775,5.9879168899687,3.59837666736604e-08,3.13958364227687e-06,1.74237185998776e-06,"ADRM1/AFG3L2/AKT3/ATG13/ATG2B/ATP2A2/ATXN1L/ATXN2/ATXN2L/ATXN3/CACNA1A/CYCS/GTF2B/ITPR1/ITPR3/MAP3K5/NFYA/OMA1/OPA1/PIK3C3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLCB2/PLCB3/PPIF/PRKCA/PRKCG/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PUM2/RORA/SLC1A6/SLC25A5/ULK2/VDAC1",55
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","61/1767","173/9382",0.352601156069364,1.87215848683802,5.57725003875599,1.96863751097903e-07,1.35171926207877e-05,7.50162401515591e-06,"ACTB/ACTG1/ADAR/AKT3/APAF1/BAX/CALCOCO2/CCL5/CXCL8/CYCS/DNAJB1/EIF2AK2/FAS/HLA-DRB5/HNRNPUL1/ICAM1/IFIH1/IFNAR1/IFNAR2/IFNGR2/IKBKB/IRAK4/IRF7/IRF9/JAK2/KPNA2/KPNA6/MAP2K2/MAVS/MX1/MX2/MYD88/NFKB1/NFKBIA/NFKBIB/NLRP3/NXF1/NXT1/OAS3/PABPN1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PRKCA/RAB11B/RAE1/RNASEL/SLC25A5/SOCS3/STAT1/TICAM1/TNF/TNFRSF10B/TNFSF10/TPSAB1/TPSB2/TPSD1/TRIM25/VDAC1",61
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","135/1767","480/9382",0.28125,1.49331494057725,5.34452338110889,2.32387265686895e-07,1.35171926207877e-05,7.50162401515591e-06,"ACTR1A/ACTR1B/ADRM1/ALS2/APAF1/APC2/ATF4/ATG13/ATG2B/ATP2A2/ATXN1L/ATXN2/ATXN2L/ATXN3/BAX/CACNA1D/CACNA1F/CALM1/CAT/CHMP2B/CHRM3/COX4I1/COX5A/COX6A1/COX6B1/COX6C/COX7A2/COX7B/COX8A/CSF1/CSNK1A1/CSNK2B/CTNNB1/CYC1/CYCS/DCTN4/DDIT3/DERL1/DNAH2/DVL2/FAS/FZD1/FZD3/FZD4/FZD8/GPX1/GPX7/HAP1/HSPA5/IFT57/ITPR1/ITPR3/KIF5A/KIF5B/KRAS/LRP5/LRRK2/MAP1LC3B/MAP2K2/MAP2K3/MAP2K6/MAP3K10/MAP3K5/NDUFA4/NDUFA6/NDUFB11/NDUFB9/NDUFS6/NDUFV1/NDUFV2/NDUFV3/NEFH/NFKB1/NRAS/PARK7/PIK3C3/PINK1/PLCB2/PLCB3/PPIF/PPP3CB/PPP3R1/PRKCA/PRKCG/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PTGS2/RAB1A/RAB39B/RAB5A/RAC1/RPS27A/RYR3/SDHB/SLC25A5/SMCR8/SPG11/SQSTM1/STX1A/TANK/TNF/TOMM40/TUBB1/TUBB2A/TUBB4B/TUBB6/UBA52/UBB/UBC/UBE2J1/UBE2L6/UCHL1/ULK2/UQCRB/UQCRC1/UQCRFS1/VAPB/VDAC1",135
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","24/1767","46/9382",0.521739130434783,2.77020742599838,5.79736362829344,3.66789763309158e-07,1.81344684818848e-05,1.00640693731468e-05,"ADRM1/POMP/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3",24
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","68/1767","204/9382",0.333333333333333,1.76985474438785,5.35497856141393,4.56359596763862e-07,1.81344684818848e-05,1.00640693731468e-05,"ACTB/ACTG1/AKT3/ANK1/ANK2/ARHGEF12/CD44/CD63/CDC42/CTNNB1/DROSHA/ERBB2/EZR/FAS/FGFR1/FLNA/FRS2/FZD1/FZD3/FZD4/FZD8/GAB1/GRB2/HBEGF/HIF1A/IGF1R/IQGAP1/ITGA2/ITPR1/ITPR3/KRAS/MAP2K2/MMP2/MSN/MYC/NRAS/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLAU/PLAUR/PPP1CA/PPP1CC/PPP1R12B/PRKACB/PRKCA/PRKCG/PTCH1/PTPN6/RAC1/RHOA/ROCK2/RPS6KB2/RRAS2/SDC4/SMAD2/SMO/SOS1/SOS2/STAT3/TFAP4/TGFB1/THBS1/TNF/VAV1/VEGFA",68
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","71/1767","216/9382",0.328703703703704,1.74527342849358,5.33777760785021,4.67651049676113e-07,1.81344684818848e-05,1.00640693731468e-05,"ABCA1/AKT3/APAF1/ATF4/BAX/CALM1/CCL3/CCL5/CDC42/CXCL1/CXCL2/CXCL3/CXCL8/CYBA/CYCS/DDIT3/ERO1A/FAS/HSP90AA1/HSP90AB1/HSP90B1/HSPA1B/HSPA1L/HSPA2/HSPA5/ICAM1/IKBKB/IRAK1/IRAK4/IRF7/ITPR1/JAK2/KRAS/LDLR/MAP2K3/MAP2K6/MAP3K5/MIB1/MYD88/NFATC2/NFE2L2/NFKB1/NFKBIA/NLRP3/NRAS/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PLCB2/PLCB3/POU2F1/PPP3CB/PPP3R1/PRKCA/RAC1/RAP1A/RHOA/ROCK2/RXRB/SELP/STAT3/TAB1/TANK/TICAM1/TNF/TNFRSF10B/TNFSF10/TRAF6/VAV1",71
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","76/1767","239/9382",0.317991631799163,1.68839699464615,5.19279819468008,8.1599289776314e-07,2.78032769954363e-05,1.54299591831105e-05,"ADAR/C3AR1/C5/C5AR1/CXCL8/EIF2AK2/F13A1/FAU/HBEGF/IFIH1/IFNAR1/IFNAR2/IKBKB/IL6R/IRAK1/IRAK4/IRF9/ISG15/MAVS/MX1/MX2/MYD88/NFKB1/NFKBIA/NFKBIB/NLRP3/OAS3/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PRKCA/PRKCG/RPL10/RPL10A/RPL13A/RPL14/RPL18/RPL19/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL27A/RPL28/RPL32/RPL35/RPL37/RPL37A/RPL4/RPL6/RPL7/RPL7A/RPL8/RPLP1/RPLP2/RPS15/RPS16/RPS19/RPS2/RPS27A/RPS27L/RPS29/RPS5/RPS7/RPS8/RPSA/SELP/STAT1/STAT3/TNF/TRAF6/UBA52/VWF",76
