"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-6783783","Interleukin-10 signaling",26,0.888807308367071,2.59549099005513,1e-10,3.00005395029658e-08,2.36622078167082e-08,346,"tags=50%, list=2%, signal=49%","CXCL8/CCL3/TNF/ICAM1/CCL5/LIF/CXCL1/CXCL2/CSF1/IL10RA/TIMP1/IL1RN/PTGS2"
"R-HSA-909733","Interferon alpha/beta signaling",63,0.723427781004814,2.47485368255829,1.06536006757691e-10,3.00005395029658e-08,2.36622078167082e-08,1400,"tags=54%, list=10%, signal=49%","OASL/IFIT3/IFIT1/IFIT2/ISG15/MX1/STAT1/RSAD2/IFIT5/IFITM1/ISG20/IRF1/MX2/USP18/IFI6/GBP2/SOCS3/HLA-G/IRF7/IFITM2/IFI35/OAS3/UBC/IRF9/HLA-B/HLA-A/OAS1/XAF1/PTPN6/EIF2AK2/PTPN1/SOCS1/RPS27A/UBB"
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",91,0.671596187770121,2.46016550288905,1e-10,3.00005395029658e-08,2.36622078167082e-08,767,"tags=31%, list=5%, signal=29%","CXCL8/CCL3/SSTR2/CXCL3/HCAR3/HCAR1/HCAR2/CCL5/ECE1/CXCL1/CXCL2/F2RL3/GPBAR1/S1PR3/C3AR1/CCR7/LPAR5/TRH/ANXA1/C5AR1/CHRM4/GPR132/NPW/CYSLTR2/LPAR6/NMB/PTGER4/S1PR1"
"R-HSA-9010553","Regulation of expression of SLITs and ROBOs",158,0.588315686715241,2.35800042694716,1e-10,3.00005395029658e-08,2.36622078167082e-08,4292,"tags=74%, list=31%, signal=52%","COL4A5/PSMD9/UBC/PSMA1/PSMB1/PSMA2/PSMD7/PSMB2/ETF1/RPS16/RPS2/PSMC1/RPS27A/PSMB3/UBB/PSMB7/FAU/PSMC4/RPL23A/RPL6/PSMD8/RPS27L/RPL37A/PSMD3/RPS7/PSME3/EIF4A3/RPS15/RPS5/PSMD6/PSMB5/ELOC/PSME2/RPL26/PSMB6/RPL28/PSMC3/RPL14/RPS28/UBA52/PSME1/RPL4/RPLP1/PSMB4/RPL19/RPL24/RPLP2/RPL36AL/RPL27/RPS8/RPL7A/RPL7/RPS19/RPL10A/RPL22L1/PSME4/PSMD14/RPS4Y1/RPL32/PSMD13/RPL13A/PSMD4/RPS13/RPL8/RPS12/RPS29/RPL29/RPL10/RPL27A/MAGOH/RPL37/RPS9/RPL23/RPL39/RPL18/PSMB10/RPL35/CUL2/RPS15A/PSMC5/RPS11/RPL34/RPS21/PSMA5/RPS25/PSMA4/PSMA7/PSMA6/RPLP0/RPSA/SEM1/RPS20/ELOB/PSMD2/RPS14/RPS10/PSMC2/PSMD12/RPS26/RPL38/RPL36/RNPS1/RPL17/PABPC1/PSMF1/RPL12/PSMB9/RPL31/RPL13/RPL5/PSMD11/RPS24/RPS23/RPS6/RPL15/CASC3/RPL3"
"R-HSA-449147","Signaling by Interleukins",348,0.49350095716698,2.14540892442072,1e-10,3.00005395029658e-08,2.36622078167082e-08,2090,"tags=34%, list=15%, signal=30%","CXCL8/CCL3/PTPN14/TNF/IL2RA/IL1RL1/ICAM1/CCL5/LIF/STX1A/CXCL1/CXCL2/IL23A/STAT1/CSF1/IL10RA/PELI1/NFKB2/DUSP4/IL21R/IL1RAP/IL2RG/IL17RE/CLCF1/IRAK2/MAP3K8/RIPK2/IL15RA/TIMP1/USP18/NFKB1/ANXA1/NFKBIA/IL1RN/SOCS3/MAP2K3/BCL6/PTGS2/PIM1/CNTF/NFKBIB/IL12RB1/ITGAX/PSMD9/TNIP2/NLRC5/HIF1A/FSCN1/UBC/JUNB/TGFB1/VIM/ITGAM/LGALS9/IL4R/PSMA1/S1PR1/OSM/PIK3R1/MUC1/PSMB1/N4BP1/VEGFA/PSMA2/PSMD7/CDC42/CNN2/HSP90AA1/PSMB2/SQSTM1/MIF/SMAD3/CFL1/PTPN6/RALA/HSP90B1/TIFA/LCK/IRAK1/IRS1/STXBP2/PSMC1/RAPGEF1/SOCS1/RPS27A/MAPKAPK2/PSMB3/IL27RA/UBB/PSMB7/ITGB2/ANXA2/PSMC4/BATF/PSMD8/LCP1/PSMD3/PSME3/TCP1/PPP2CA/TRAF6/JAK3/PSMD6/PSMB5/CDKN1A/MYD88/PSME2/MSN/HNRNPDL/UBE2N/STAT4/PSMB6/PIK3CA/PSMC3/STAT3/P4HB/UBA52/STAT2/PSME1"
"R-HSA-913531","Interferon Signaling",225,0.504409476085184,2.10162506309487,5.03584345699943e-10,1.1817445979092e-07,9.32072780199017e-08,1710,"tags=28%, list=12%, signal=25%","OASL/IFIT3/IFIT1/ICAM1/IFIT2/ISG15/MX1/STAT1/GBP1/GBP5/RSAD2/MT2A/IFIT5/IFITM1/ISG20/IRF1/TUBB2A/TUBB6/MX2/USP18/IFI6/GBP2/SOCS3/HLA-G/HSPA2/SPHK1/IRF7/IFITM2/IFI35/KPNA2/OAS3/UBC/EIF4G2/IRF9/HLA-B/HLA-A/HSPA1B/TRIM25/OAS1/YBX1/XAF1/PTPN6/HERC5/TRIM8/UBE2L6/EIF2AK2/PTPN1/B2M/TARBP2/SOCS1/RPS27A/UBB/POM121/GBP4/PIN1/TUBA4A/IFNGR2/CD44/SUMO1/PRKRA/KPNA3/TUBB4B/PPP2CA/EIF4A3"
"R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane",109,0.612964193547872,2.31541305495934,1.66423680768029e-09,3.34749346459122e-07,2.64025538662061e-07,4292,"tags=80%, list=31%, signal=56%","SEC61B/RPS16/RPS2/SEC11A/SRP14/RPS27A/DDOST/FAU/RPL23A/RPL6/RPS27L/RPL37A/RPS7/SEC61G/RPS15/RPS5/RPL26/SSR4/RPL28/RPL14/RPS28/UBA52/RPL4/RPLP1/RPN2/RPL19/RPL24/RPLP2/RPN1/RPL36AL/RPL27/SPCS1/RPS8/RPL7A/RPL7/RPS19/RPL10A/RPL22L1/SEC61A2/SPCS3/RPS4Y1/RPL32/RPL13A/RPS13/RPL8/RPS12/RPS29/RPL29/RPL10/RPL27A/RPL37/RPS9/RPL23/RPL39/RPL18/RPL35/SRPRA/RPS15A/SRP72/SRP19/RPS11/RPL34/RPS21/SEC11C/SSR2/RPS25/RPLP0/RPSA/RPS20/SSR3/RPS14/RPS10/RPS26/RPL38/RPL36/SEC61A1/RPL17/RPL12/RPL31/RPL13/RPL5/TRAM1/RPS24/RPS23/RPS6/RPL15/RPL3"
"R-HSA-375276","Peptide ligand-binding receptors",44,0.76989690851937,2.46649911474156,2.13205059317281e-09,3.75240904398415e-07,2.9596228628912e-07,625,"tags=36%, list=4%, signal=35%","CXCL8/CCL3/SSTR2/CXCL3/CCL5/ECE1/CXCL1/CXCL2/F2RL3/C3AR1/CCR7/TRH/ANXA1/C5AR1/NPW/NMB"
"R-HSA-6798695","Neutrophil degranulation",397,0.414783874772028,1.82254425097128,5.65506054323115e-09,8.84702804985495e-07,6.97788172293434e-07,2499,"tags=31%, list=18%, signal=26%","PTX3/GPR84/CXCL1/PLAU/RETN/SERPINA1/C3AR1/CRISPLD2/PLAUR/ADGRE5/SLC2A3/NFKB1/NEU1/C5AR1/MGAM/ITGAX/RHOG/AOC1/RAP2C/ADAM8/CD33/FCN1/NRAS/CD63/CKAP4/PGRMC1/ITGAM/CMTM6/FCAR/SLC27A2/HLA-B/SDCBP/HSPA1B/PSMB1/S100A11/SLC11A1/PSMA2/PSMD7/PGAM1/CYSTM1/RAB31/PLEKHO2/CNN2/ARL8A/HSP90AA1/ALDOA/RHOA/SURF4/TYROBP/MIF/S100A9/FCER1G/PTPN6/RHOF/BRI3/IQGAP1/B4GALT1/QSOX1/LAMP1/COTL1/PAFAH1B2/SLC2A5/RAB5C/ERP44/FABP5/COMMD3/CD55/ENPP4/CSNK2B/RAP2B/GUSB/CYBA/NME2/B2M/JUP/SRP14/VAPA/DDOST/PSMB7/ITGB2/ANXA2/KCMF1/GYG1/CD44/FTL/PSMD3/TUBB4B/ORMDL3/PRDX4/DEGS1/PSMD6/RAC1/GPI/FTH1/RAP1A/HSP90AB1/CCT8/GSTP1/PRDX6/PSMC3/LAMTOR2/VAT1/PA2G4/ACTR1B/XRCC6/SIGLEC14/FGR/TUBB/GLA/EEF1A1/DYNLT1/ILF2/CFP/CANT1/MAN2B1/LGALS3/VCL/PKM/ITGAV/ATP11A/PSMD14/PSMD13/ARSB/MAGT1"
"R-HSA-156842","Eukaryotic Translation Elongation",88,0.6230521547289,2.29589187620941,1.79483084410149e-08,2.32140127021951e-06,1.83094971597008e-06,4769,"tags=90%, list=34%, signal=59%","RPS16/RPS2/RPS27A/FAU/RPL23A/RPL6/RPS27L/RPL37A/RPS7/RPS15/RPS5/RPL26/RPL28/RPL14/RPS28/UBA52/RPL4/RPLP1/EEF1A1/RPL19/RPL24/RPLP2/RPL36AL/RPL27/RPS8/RPL7A/RPL7/RPS19/RPL10A/RPL22L1/RPS4Y1/RPL32/RPL13A/RPS13/RPL8/RPS12/RPS29/RPL29/RPL10/RPL27A/RPL37/RPS9/RPL23/RPL39/RPL18/RPL35/RPS15A/RPS11/RPL34/RPS21/RPS25/RPLP0/RPSA/RPS20/RPS14/RPS10/EEF1B2/RPS26/RPL38/RPL36/RPL17/EEF1D/EEF2/RPL12/RPL31/RPL13/RPL5/RPS24/RPS23/RPS6/RPL15/RPL3/RPS3/RPS18/RPL30/RPL22/RPL35A/RPL18A/RPS3A"
