"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-9020702","Interleukin-1 signaling","58/2457","115/11146",0.504347826086956,2.2879368618499,7.3823353092599,1.77423891904353e-11,2.79442629749356e-08,2.04504380668702e-08,"ALPK1/BTRC/CUL1/IKBKB/IL1RAP/IL1RN/IRAK1/IRAK2/IRAK3/IRAK4/LRRC14/MAP2K6/MAP3K8/MYD88/N4BP1/NFKB1/NFKB2/NFKBIA/NFKBIB/NKIRAS2/NLRC5/NOD1/PELI1/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RIPK2/RPS27A/SQSTM1/TAB1/TIFA/TNIP2/TOLLIP/TRAF6/UBA52/UBB/UBC/UBE2N/USP18",58
"R-HSA-3858494","Beta-catenin independent WNT signaling","65/2457","146/11146",0.445205479452055,2.0196419511488,6.59455503012481,1.00685170417082e-09,7.92895717034518e-07,5.80264534772128e-07,"AGO3/AP2A1/ARRB2/CALM1/CLTA/CLTB/CTNNB1/DAAM1/DVL2/FZD1/FZD3/FZD4/FZD8/GNB1/GNB4/GNG11/GNG5/GNG7/ITPR1/ITPR3/KRAS/MOV10/PDE6G/PFN1/PLCB2/PLCB3/PPP3CB/PPP3R1/PRKCA/PRKCG/PRKG2/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RAC1/RHOA/ROR2/RPS27A/SMURF1/TCF7/TNRC6B/TNRC6C/UBA52/UBB/UBC/VANGL2",65
"R-HSA-449147","Signaling by Interleukins","159/2457","473/11146",0.33615221987315,1.52492985051125,6.20363591550356,2.24131705051705e-09,1.17669145152145e-06,8.61137603619709e-07,"ALPK1/ANXA1/ARF1/BCL6/BRWD1/BTRC/CA1/CCL3/CCL5/CDC42/CFL1/CLCF1/CNN2/CNTF/CREB1/CRKL/CSF1/CUL1/CXCL1/CXCL2/CXCL8/DUSP4/F13A1/FSCN1/GRB2/HIF1A/HNRNPDL/HSP90AA1/HSP90B1/HSPA9/ICAM1/IKBKB/IL10RA/IL10RB/IL11RA/IL12RB1/IL15RA/IL16/IL17RC/IL17RE/IL1RAP/IL1RL1/IL1RN/IL21R/IL23A/IL27RA/IL2RA/IL2RG/IL4R/IL6R/INPP5D/IRAK1/IRAK2/IRAK3/IRAK4/ITGAM/ITGAX/ITGB2/JAK2/JAK3/JUNB/LCP1/LGALS9/LIF/LRRC14/MAP2K3/MAP2K6/MAP3K8/MAPKAPK2/MAPKAPK3/MIF/MMP2/MSN/MTAP/MUC1/MYC/MYD88/N4BP1/NDN/NFKB1/NFKB2/NFKBIA/NFKBIB/NKIRAS2/NLRC5/NOD1/OSM/PELI1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PIM1/POU2F1/PPIA/PPP2CA/PPP2R1A/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PTGS2/PTPN14/PTPN4/PTPN6/RAG1/RALA/RAPGEF1/RIPK2/RORA/RPS27A/S1PR1/SMAD3/SOCS3/SOS1/SOS2/SQSTM1/STAT1/STAT3/STX1A/STX4/STXBP2/TAB1/TCP1/TGFB1/TIFA/TIMP1/TNF/TNIP2/TOLLIP/TRAF6/UBA52/UBB/UBC/UBE2N/USP18/VAV1/VEGFA/VIM/YWHAZ",159
"R-HSA-9711123","Cellular response to chemical stress","84/2457","211/11146",0.398104265402844,1.80597075383805,6.28505138760687,3.32883561001264e-09,1.31072902144248e-06,9.59230261306273e-07,"AKT3/AMER1/ATF4/ATP7A/BACH1/BRCA1/BTRC/CAT/CHD9/COX4I1/COX5A/COX6A1/COX6B1/COX6C/COX7A2/COX7B/COX8A/CSNK2B/CUL1/CYBA/CYCS/DPP3/ERO1A/G6PD/GCLM/GPX1/GPX7/GSR/GSTP1/HDAC3/IDH1/MAP1LC3B/MUL1/MYC/NCOA1/NCOA2/NCOA6/NDUFA4/NFE2L2/NFKB1/NLRP3/NPLOC4/NQO1/PDGFA/PGD/PPARA/PRDX6/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RPS27A/SESN2/SIN3B/SMARCD3/SQSTM1/STAT3/TBL1X/TBL1XR1/TKT/TXN/TXN2/TXNRD2/UBA52/UBB/UBC",84
"R-HSA-1168372","Downstream signaling events of B Cell Receptor (BCR)","42/2457","83/11146",0.506024096385542,2.29554113891463,6.29957882122328,9.51978442972255e-09,2.9987320953626e-06,2.19456083169394e-06,"BTRC/CALM1/CUL1/FKBP1A/IKBKB/KRAS/NFATC2/NFKB1/NFKBIA/NFKBIB/NFKBIE/NRAS/PPIA/PPP3CB/PPP3R1/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/REL/RPS27A/UBA52/UBB/UBC",42
"R-HSA-446652","Interleukin-1 family signaling","64/2457","153/11146",0.418300653594771,1.89759018517188,5.94461061357743,2.69031232750841e-08,5.97403095887237e-06,4.37197253130509e-06,"ALPK1/BTRC/CUL1/IKBKB/IL1RAP/IL1RL1/IL1RN/IRAK1/IRAK2/IRAK3/IRAK4/LRRC14/MAP2K6/MAP3K8/MYD88/N4BP1/NFKB1/NFKB2/NFKBIA/NFKBIB/NKIRAS2/NLRC5/NOD1/PELI1/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PTPN14/PTPN4/PTPN6/RIPK2/RPS27A/SMAD3/SQSTM1/STAT3/TAB1/TIFA/TNIP2/TOLLIP/TRAF6/UBA52/UBB/UBC/UBE2N/USP18",64
"R-HSA-909733","Interferon alpha/beta signaling","39/2457","77/11146",0.506493506493506,2.29767058338487,6.07593815565582,3.09763437786259e-08,5.97403095887237e-06,4.37197253130509e-06,"ADAR/EIF2AK2/GBP2/HLA-A/HLA-B/HLA-G/IFI35/IFI6/IFIT1/IFIT2/IFIT3/IFIT5/IFITM1/IFITM2/IFNAR1/IFNAR2/IP6K2/IRF1/IRF2/IRF5/IRF7/IRF9/ISG15/ISG20/MX1/MX2/OAS3/OASL/PTPN1/PTPN6/RNASEL/RPS27A/SAMHD1/SOCS3/STAT1/UBA52/UBB/UBC/USP18",39
"R-HSA-1234176","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","35/2457","66/11146",0.53030303030303,2.40568073901407,6.09040954856863,3.47595315391315e-08,5.97403095887237e-06,4.37197253130509e-06,"CUL2/EGLN3/ELOC/HIF1A/LIMD1/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RPS27A/UBA52/UBB/UBC/UBE2D1/UBE2D2/UBE2D3/VHL",35
"R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","152/2457","464/11146",0.327586206896552,1.48607076193283,5.68708759807034,3.5501248879829e-08,5.97403095887237e-06,4.37197253130509e-06,"ACTB/ACTG1/AGGF1/AGO3/AKAP9/AKT3/AMER1/APBB1IP/APH1A/ARRB2/BAG4/BCL11A/BCL2A1/CALM1/CDC37/CDKN1B/CEBPB/CNKSR1/CNTRL/CPSF6/CREB1/CSNK1A1/CTNNB1/CUL1/DERL2/DLL1/DUSP10/DUSP8/EML4/ERBB2/ETV6/FAM114A2/FGFR1/FKBP1A/FLT3/FRS2/FXR1/FZD4/FZD8/GAB1/GCC2/GRB2/GSK3A/GTF2F2/HBEGF/HDAC1/HDAC3/HDAC8/HEYL/HHAT/HSP90AA1/IL10RA/IQGAP1/JAK2/JUNB/KANK1/KDM7A/KIF5B/KRAS/KSR1/LMNA/LMO7/LRP5/MAML3/MAP2K2/MIB1/MOV10/MSN/MYC/MYH9/MYO18A/NCBP2/NEURL1B/NF1/NRAS/NRG4/OS9/PDGFA/PEBP1/PIK3CA/PIK3CB/PIK3CD/PIK3R1/PIK3R3/PIM1/POLR2C/POLR2E/POLR2L/PPFIBP1/PPP1CC/PPP2CA/PPP2R1A/PPP2R5A/PPP2R5C/PRF1/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PTPN6/RAC1/RAP1A/RHOG/RPS27A/RPS6KB2/SEL1L/SMAD2/SMAD3/SMAD4/SOS1/SPRED3/SQSTM1/STAT1/STAT3/TBL1X/TBL1XR1/TFG/TGFB1/TNKS/TNRC6C/TPM3/TPM4/TRAT1/TRIP11/UBA52/UBB/UBC/VAV1/VWF/WDCP/WDR48/ZAP70/ZC3HAV1/ZFYVE9",152
"R-HSA-4086400","PCP/CE pathway","44/2457","92/11146",0.478260869565217,2.16959530003008,5.99000953917065,3.79303552944278e-08,5.97403095887237e-06,4.37197253130509e-06,"AP2A1/ARRB2/CLTA/CLTB/DAAM1/DVL2/FZD1/FZD3/FZD4/FZD8/PFN1/PRKCA/PRKCG/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RAC1/RHOA/ROR2/RPS27A/SMURF1/UBA52/UBB/UBC/VANGL2",44
"R-HSA-5358351","Signaling by Hedgehog","62/2457","149/11146",0.416107382550336,1.88764057220433,5.80030568868525,5.58609331502962e-08,7.99826997379241e-06,5.8533705071363e-06,"ADCY6/ADCY9/ARRB2/BTRC/CSNK1A1/CUL1/DERL2/EVC/EVC2/GAS8/GNAS/GPC5/GPR161/HHAT/IFT172/IFT57/INTU/KIF3A/MKS1/OS9/PRKACB/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/PTCH1/RPGRIP1L/RPS27A/SEL1L/SMO/SMURF1/SPOP/SUFU/TUBB1/TUBB2A/TUBB4B/TUBB6/TULP3/UBA52/UBB/UBC/ULK3/WDR19/WDR35",62
